Protein A;Gene A;Protein B;Gene B;Score;PMID
Q6ZQ18;EFR3B;E9Q6P5;TTC7B {ECO:0000312|MGI:MGI:2144724};0.376;23229899 
E9Q735;E9Q735;E9Q735;E9Q735;0.332;11435423 
Q9JIF0;PRMT1;Q91VM5;RBMXL1;0.21;19858291 
Q9QYI3;DNAJC7;E9Q735;E9Q735;0.454;15189447 
Q99MP8;BRAP;E9Q7G0;NUMA1 {ECO:0000312|MGI:MGI:2443665};0.376;23707952 
Q62101;PRKD1;E9Q9K8;E9Q9K8;0.21;23540699 
Q8VCC8;RAPGEF3;E9Q9K8;E9Q9K8;0.376;23540699 
Q9JIF0;PRMT1;O35182;SMAD6;0.236;17118358 
Q9JID9;SH2B2;Q60631;GRB2;0.21;9989826 
Q9JID9;SH2B2;Q6P549;INPPL1;0.21;17620296 
O09106;HDAC1;E9QAG8;ZNF431;0.376;21177534 
P70288;HDAC2;E9QAG8;ZNF431;0.569;21177534 
P29037;TBP;E9QAP7;TAF4A;0.376;21552207 
Q02650;PAX5;E9QAP7;TAF4A;0.21;21552207 
Q6PDG5;SMARCC2;E9QAP7;TAF4A;0.21;21552207 
Q9JIF0;PRMT1;Q8K2F8;LSM14A;0.21;19858291 
Q9JIF0;PRMT1;Q8VEK3;HNRNPU;0.21;19858291 
Q62421;SH3GL3;F2Z3U3;F2Z3U3;0.21;24076656 
Q9JII7;ZFAND2A;P63017;HSPA8;0.21;16973439 
Q9JIF0;PRMT1;Q9D6Z1;NOP56;0.21;19858291 
Q9JIF3;SLC2A8;P22892;AP1G1;0.21;19523115 
Q9JIF0;PRMT1;Q9CY58;SERBP1;0.21;19858291 
Q9JIF3;SLC2A8;P17047;LAMP2;0.126;19523115 
Q9JKB3;YBX3;Q9JIF0;PRMT1;0.21;19858291 
Q9JIF3;SLC2A8;P11438;LAMP1;0.126;19523115 
Q9JIF7;COPB1;P47811;MAPK14;0.183;15102471 
Q9JII7;ZFAND2A;P26516;PSMD7;0.21;16973439 
Q9JIF7;COPB1;E9Q401;RYR2;0.183;15102471 
Q9JIF3;SLC2A8;Q9DBG3;AP2B1;0.21;19523115 
Q9JIP4;PANX1;Q9EPB4;PYCARD;0.21;25327779 
Q9JHU4;DYNC1H1;O35685;NUDC;0.21;11734602 
Q9JII7;ZFAND2A;Q8VDM4;PSMD2;0.21;16973439 
Q9JIW5;SMAD9;P97302;BACH1;0.21;16101586 
Q9JIK5;DDX21;Q8K3Y3;LIN28A;0.21;19713958 
Q9JIP4;PANX1;P97382;KCNAB3;0.376;19780818 
Q9JIP3;IL17RB;P70196;TRAF6;0.21;23355738 
Q9JIL4;PDZK1;Q61983;SLC17A1;0.309;11099500 
Q9JIP4;PANX1;P29452;CASP1;0.21;25327779 
Q9JIW5;SMAD9;P70689;GJB6;0.21;16101586 
Q8VD04;GRIPAP1;A3KBF5;MAPK8;0.376;17761173 
P14733;LMNB1;A3KGF7;PLCB2;0.183;15102471 
P33609;POLA1;A3KGF7;PLCB2;0.183;15102471 
Q9CXF4;TBC1D15;A3KGF7;PLCB2;0.183;15102471 
Q9JIP6;FZD2;Q62108;DLG4;0.21;12067714 
Q9JIW5;SMAD9;P50540;MXI1;0.21;16101586 
Q9JI33;NTN4;Q9JI33;NTN4;0.332;17588941 
Q9JIW5;SMAD9;P49135;ERCC3;0.21;16101586 
Q9JIW5;SMAD9;O89091;KLF10;0.21;16101586 
Q9JIW5;SMAD9;O88685;PSMC3;0.21;16101586 
F6SEU4;SYNGAP1;A2AI21;GRIN1;0.126;28706196 
F6SEU4;SYNGAP1;A4GZ26;IQSEC2;0.126;28706196 
F6SEU4;SYNGAP1;B1AS06;B1AS06;0.126;28706196 
F6SEU4;SYNGAP1;D3YUS5;D3YUS5;0.126;28706196 
F6SEU4;SYNGAP1;D3YX85;D3YX85;0.126;28706196 
F6SEU4;SYNGAP1;D3YZU5;D3YZU5;0.126;28706196 
F6SEU4;SYNGAP1;D3Z1M1;D3Z1M1;0.126;28706196 
F6SEU4;SYNGAP1;D3Z3G6;D3Z3G6;0.126;28706196 
F6SEU4;SYNGAP1;E9Q2H1;E9Q2H1;0.126;28706196 
F6SEU4;SYNGAP1;E9Q3K3;E9Q3K3;0.126;28706196 
F6SEU4;SYNGAP1;E9QMC2;E9QMC2;0.126;28706196 
F6V513;F6V513;F6SEU4;SYNGAP1;0.126;28706196 
F6VQZ6;F6VQZ6;F6SEU4;SYNGAP1;0.126;28706196 
F7CCX1;F7CCX1;F6SEU4;SYNGAP1;0.126;28706196 
H3BKR2;H3BKR2;F6SEU4;SYNGAP1;0.126;28706196 
P62821;RAB1A;F6SEU4;SYNGAP1;0.126;27507650 
P62874;GNB1;F6SEU4;SYNGAP1;0.126;28706196 
