Protein A;Gene A;Protein B;Gene B;Score;PMID
P14270;PDE4D;F1LMY4;RYR1;0.21;12629052 
Q62658;FKBP1A;F1LMY4;RYR1;0.21;12629052 
Q9WVC7;AKAP6;F1LMY4;RYR1;0.21;12629052 
P21708;MAPK3;F1LUW9;TUBG2;0.126;19935650 
Q9WVB1;RAB6A;F1LVC3;RAB6B;0.081;20360680 
O88382;MAGI2;F1LXJ9;PTPRT;0.21;19816407 
P07825;SYP;F1LXJ9;PTPRT;0.126;19816407 
P15146;MAP2;F1LXJ9;PTPRT;0.126;19816407 
P47819;GFAP;F1LXJ9;PTPRT;0.126;19816407 
Q62888;NLGN2;F1LXJ9;PTPRT;0.21;19816407 
Q62915;CASK;F1LXJ9;PTPRT;0.21;19816407 
Q63374;NRXN2;F1LXJ9;PTPRT;0.376;19816407 
P21708;MAPK3;F1LYL8;RPS6KA6;0.126;19935650 
P21708;MAPK3;F1M2M6;F1M2M6;0.126;19935650 
P21708;MAPK3;F1M446;F1M446;0.126;19935650 
P62986;UBA52;F1M625;F1M625;0.309;22043315 
F1M7Y5;PRKCI;F1M7Y5;PRKCI;0.332;11463795 
O08623;SQSTM1;F1M7Y5;PRKCI;0.507;23511975 11500922 
P02688;MBP;F1M7Y5;PRKCI;0.309;11500922 
P19490;GRIA1;F1M7Y5;PRKCI;0.376;23511975 
Q62824;EXOC4;F1M7Y5;PRKCI;0.21;19885391 
Q64604;PTPRF;F1M8A4;PPFIA2;0.126;11931740 
P41542;USO1;F1M8X9;GBF1;0.21;12634853 
P21708;MAPK3;F1MA98;TPR;0.126;19935650 
P63245;GNB2L1;A2RUW1;TOLLIP;0.309;19198660 
Q3MKQ2;BEX1;A2RUW1;TOLLIP;0.309;19198660 
Q63429;UBC;A2RUW1;TOLLIP;0.309;19198660 
Q63621;IL1RAP;A2RUW1;TOLLIP;0.309;19198660 
Q71TY3;RPS27;A2RUW1;TOLLIP;0.309;19198660 
Q9JIH7;WNK1;P21707;SYT1;0.523;15350218 
Q9JIR4;RIMS1;O70368;CACNA1A;0.523;21241895 
Q9JIR1;RIMBP2;P54282;CACNA1A;0.396;21241895 
P21708;MAPK3;A0A0G2K364;A0A0G2K364;0.126;19935650 
Q9JIS1;RIMS2;Q811U3;ERC1;0.309;12391317 
P97555;MGLUR8B;A4L9P5;HIPK1;0.523;18555800 
P60881;SNAP25;G3V7P1;STX12;0.21;17717530 
Q5FWY5;AIP;G3V9H8;RET;0.21;19366855 
Q63429;UBC;G3V9H8;RET;0.376;16525057 
P21708;MAPK3;G3V9N0;PABPC4;0.126;19935650 
P21708;MAPK3;G3V9R8;HNRNPC;0.126;19935650 
Q9JJ19;SLC9A3R1;Q63120;ABCC2;0.454;20404332 
Q9JJ40;PDZK1;P97836;DLGAP1;0.309;16054660 
Q9JJ50;HGS;Q8R2H7;TRAK2;0.376;17062640 
Q9JJ50;HGS;Q63604;NTRK2;0.21;19351881 
Q9JJM9;SEPT5;P32851;STX1A;0.21;15355307 
Q9JJP9;UBQLN1;Q06880;NBL1;0.309;9268694 
P21708;MAPK3;M0R8B6;TUBB1;0.126;19935650 
Q9JK11;RTN4;Q6PST4;ATL1;0.376;19665976 
Q9JK11;RTN4;Q64548;RTN1;0.376;23454728 
Q9JK66;PARK2;Q91XJ1;BECN1;0.21;24879156 
Q9QUH6;SYNGAP1;P35439;GRIN1;0.21;16054660 
Q9QUL6;NSF;P19491;GRIA2;0.74;9697854 15858065 
Q9QUL6;NSF;P60517;GABARAP;0.21;16431922 
Q9JK66;PARK2;P29066;ARRB1;0.21;21466165 
Q9JK66;PARK2;O35889;MLLT4;0.21;23393160 
Q9QX19;CIT;P61589;RHOA;0.21;18309323 
Q9QX19;CIT;P60711;ACTB;0.309;18309323 
Q9QX19;CIT;P31016;DLG4;0.21;18309323 
Q9QX19;CIT;P19814;TTGN1;0.21;18309323 
Q9QX19;CIT;Q62868;ROCK2;0.21;18309323 
Q9QX69;LANCL1;P21708;MAPK3;0.236;19935650 
Q9R0J9;G3BP1;P21708;MAPK3;0.236;19935650 
Q9QX74;SHANK2;P14270;PDE4D;0.569;17244609 
Q9QXQ0;ACTN4;P21708;MAPK3;0.236;19935650 
Q9QXQ0;ACTN4;P19357;SLC2A4;0.298;16396496 
Q9QXU8;DYNC1LI1;P21708;MAPK3;0.236;19935650 
Q9QXY2;SRCIN1;P97879;GRIP1;0.309;10896157 
Q9QXY2;SRCIN1;Q8CJ75;SORBS3;0.21;18662323 
Q9QY78;IKBKB;P63045;VAMP2;0.21;18692471 
Q9QY78;IKBKB;Q08850;STX4;0.21;18692471 
Q9QYH1;MPP4;P19491;GRIA2;0.21;10558890 
Q9QYF3;MYO5A;P21708;MAPK3;0.236;19935650 
Q9QYP0;MEGF8;P16599;TNF;0.236;17623297 
Q9QYW0;AATF;Q6IRE4;TSG101;0.309;17552904 
Q9QYV0;ADAM15;P0DJJ3;SGIP1;0.21;22167186 
Q9QYW0;AATF;Q6AXQ8;MNS1;0.309;17552904 
Q9QYW3;MOB4;P19132;FTH1;0.309;11872741 
Q9QZ81;AGO2;P09527;RAB7A;0.126;24723684 
Q9QZ81;AGO2;M0RC99;RAB5A {ECO:0000312|RGD:620936};0.126;24723684 
Q9QZ81;AGO2;P62494;RAB11A;0.126;24723684 
Q9QZ81;AGO2;Q66X93;SND1;0.21;24882364 
Q9JK71;MAGI3;P18090;ADRB1;0.376;16316992 
Q9QZM5;ABI1;Q9QX74;SHANK2;0.21;17304222 
Q9QZM5;ABI1;P52164;MAX;0.21;17304222 
Q9QZR8;PDZD2;Q6GMN2;BAIAP2;0.309;14596909 
Q9WVC0;SEPT7;Q9QZR6;SEPT9;0.21;17922164 
Q9QZR6;SEPT9;Q91Y81;SEPT2;0.21;17922164 
Q9QZR6;SEPT9;Q5FVK1;RGD1305464;0.21;17922164 
Q9WTQ6;TRIB3;Q9JK66;PARK2;0.21;26224857 
Q9R012;PLK2;O88382;MAGI2;0.309;10080919 
Q9R0C9;SIGMAR1;P06761;HSPA5;0.376;17981125 
Q9R0T4;CDH1;Q6AY13;CCNA1;0.21;11340163 
Q9R1N3;SLC4A7;P34158;CFTR;0.21;12403779 
Q9R1M3;TSPY1;Q00715;Q00715;0.309;16996029 
Q9R1M3;TSPY1;Q4FZT6;Q4FZT6;0.309;16996029 
Q9R1S9;MDK;P14056;ARAF;0.309;9679960 
Q9R1S9;MDK;P11345;RAF1;0.309;9679960 
Q9JKS6;PCLO;Q920M9;SIAH1;0.21;23403927 
Q32Q06;AP1M1;A6P320;MARCH11;0.454;17604280 
Q792I0;LIN7C;A6P320;MARCH11;0.21;17604280 
Q9JLI4;NCOA6;Q9JLI4;NCOA6;0.332;10866662 
Q9JLP1;KHDRBS3;Q91V33;KHDRBS1;0.309;11118435 
Q9JLP1;KHDRBS3;Q4V898;RBMX;0.309;11118435 
Q9JLU4;SHANK3;Q9JLU4;SHANK3;0.236;23897824 
Q9JLU4;SHANK3;P31424;GRM5;0.309;10433269 
Q9JLT6;BID;P35213;YWHAB;0.523;12871587 
P09951;SYN1;O08560;DGKZ;0.126;19229292 
P15146;MAP2;O08560;DGKZ;0.126;19229292 
P14562;LAMP1;O08561;PI4KB;0.21;23258225 
Q70AM4;KIF13B;O08561;PI4KB;0.21;23258225 
Q9JM80;PAG1;P32577;CSK;0.21;10801129 
P19490;GRIA1;O08623;SQSTM1;0.376;23511975 
P62483;KCNAB2;O08623;SQSTM1;0.309;12431995 
Q4V8E9;NRIF1;O08623;SQSTM1;0.376;16252010 
Q5D003;FHOD3;O08623;SQSTM1;0.126;21149568 
O08679;MARK2;O08679;MARK2;0.332;16472737 
O88764;DAPK3;O08722;UNC5B;0.309;21172653 
Q63787;PIK3R1;O08724;IRS3;0.21;16919274 
P14056;ARAF;O08774;RGS12;0.21;17380122 
P20171;HRAS;O08774;RGS12;0.21;17380122 
P21708;MAPK3;O08775;KDR;0.126;19935650 
O08815;SLK;O08815;SLK;0.236;16316999 
O08838;AMPH;O08838;AMPH;0.236;11382783 
O88339;EPN1;O08838;AMPH;0.21;11382783 
P08081;CLTA;O08838;AMPH;0.21;11382783 
P39052;DNM2;O08838;AMPH;0.454;16325581 
P62944;AP2B1;O08838;AMPH;0.376;11382783 16903783 
Q62910;SYNJ1;O08838;AMPH;0.21;9195986 
O08839;BIN1;O08838;AMPH;0.21;15126636 
P08081;CLTA;O08839;BIN1;0.21;11382783 
P11442;CLTC;O08839;BIN1;0.21;11382783 
P62944;AP2B1;O08839;BIN1;0.21;11382783 
P69682;NECAP1;O08839;BIN1;0.454;17762867 
Q62910;SYNJ1;O08839;BIN1;0.21;9195986 
P18266;GSK3B;O09139;E2F1;0.376;18367454 
P33568;RB1;O09139;E2F1;0.376;9697699 17989570 
Q9JM47;KCNIP3;Q5I0H3;SUMO1;0.21;21070824 
Q9JMG6;TFPT;Q63053;ARC;0.376;10644725 
Q9WTW1;GRIP2;P19492;GRIA3;0.309;9768844 
Q9WTZ3;MBTPS1;Q62839;GOLGA2;0.236;18323777 
